input,id,来源,name,label,开发,发行,href,厂商,评分,下载,关注,android,ios,GameRes评分,network
2021/11/23,173800,TAPTAP,全民五子棋,桌面和棋类,,,https://www.taptap.com/app/173800,莫邪游戏,6.4,,17815,试玩,获取,,需要
2021/12/16,225689,TAPTAP,Spirit of the Island,"冒险,休闲,模拟",1M Bits Horde,META Publishing,https://www.taptap.com/app/225689,,9.5,,27103,预约,预约,,需要
2022/01/10,227792,TAPTAP,焕然异星,模拟,Asteroid Lab,IndieArk,https://www.taptap.com/app/227792,,8.2,,10420,预约,预约,,需要
2022/01/24,230003,TAPTAP,铁血雄心1942,休闲,恶魔猫,,https://www.taptap.com/app/230003,,8.5,,18466,试玩,敬请期待,,需要
2022/02/08,230227,TAPTAP,无尽恐怖模拟器,文字,,,https://www.taptap.com/app/230227,江苏炫指玩软件科技有限公司,8.3,,69913,试玩,预约,,需要
2022/02/15,231086,TAPTAP,异世轮回录,模拟,,,https://www.taptap.com/app/231086,Forever D Studio,9.8,,16454,预约,预约,,需要
2022/02/22,231156,TAPTAP,魂,"开放世界,高画质,冒险,角色扮演",失眠工作室,,https://www.taptap.com/app/231156,,9.7,,73623,预约,预约,,需要
2022/02/22,229870,TAPTAP,枪火重生,"射击,Roguelike,动作",,,https://www.taptap.com/app/229870,多益网络有限公司,9.4,,100216,预约,预约,,需要
2022/02/22,230100,TAPTAP,像素冒险世界,"像素,开放世界,角色扮演",OhMyPixel,,https://www.taptap.com/app/230100,,9.3,,147376,试玩,敬请期待,,需要
2022/02/22,42949,TAPTAP,魂器学院,"竖屏,收集,放置,养成,ACG,挂机,美少女,二次元,休闲,卡牌,经营,联网",,,https://www.taptap.com/app/42949,傲娇工作室,8.1,1737112,1143615,下载,获取,,需要
2022/02/22,0,GameRes,部落冲突 (COC),"娱乐,动作,策略",Supercell,Supercell Oy,https://www.16p.com/1803933.html,Supercell Oy,,,,,,4.1,
2022/02/22,10497,TAPTAP,部落冲突 (Clash of Clans),"战争,建造,策略,COC,塔防,SLG,即时战略,联机,竞技,RTS,多人",Supercell,北京昆仑乐享网络技术有限公司,https://www.taptap.com/app/10497,,6.5,3662680,1464766,下载,获取,,需要
2022/02/22,0,GameRes,黑羊,"冒险,独立",完蛋了的国王,,https://www.16p.com/1788407.html,完蛋了的国王,,,,,,0.0,
