,name,taptap_android,taptap_ios
0,绯石之心,下载,获取
1,上古王冠,下载,获取
2,CoA,预约,预约
3,火环,预约,预约
4,Project：棱镜,预约,预约
5,Project 24/36,预约,预约
6,白之物语,预约,预约
7,超神学院：进击,预约,敬请期待
8,光影之末,预约,敬请期待
9,锚点降临,预约,预约
10,大存有链,预约,预约
11,代号：灰者,预约,预约
12,代号：依露希尔,预约,预约
13,代号：异界旅者,预约,预约
14,代号Ring,预约,预约
15,辰斯特传说,预约,预约
16,光之斗魂,预约,敬请期待
17,不良人3,预约,预约
18,黎明之海,预约,预约
19,天使之歌,暂无,暂无
20,超能精英,预约,敬请期待
21,Project 光年,预约,敬请期待
22,暗夜圣徒,预约,敬请期待
23,宝石研物语：伊恩之石,预约,预约
24,代号：王领,预约,敬请期待
25,点点勇者,预约,敬请期待
26,黎明对决,试玩,敬请期待
27,帕尼亚战纪,预约,预约
28,异界冒险,预约,预约
29,深空之眼,预约,预约
30,CPOW,预约,预约
31,超能精英,预约,敬请期待
32,代号：假面,预约,敬请期待
33,盾之勇者成名录：浪潮,预约,预约
34,迷雾公式,预约,预约
35,魔卡之耀,暂无,暂无
36,逆境重组,预约,预约
