country,currency,rate
Algeria,DZD,14052.44
Australia,AUD,136.36
Austria,EUR,87.9
Bahrain,USD,100
Bangladesh,BDT,8717.23
Belgium,EUR,87.9
Bermuda,USD,100
Bolivia,BOB,696.17
Brazil,BRL,547.36
British Virgin Islands,USD,100
Bulgaria,BGN,171.95
Cambodia,USD,100
Canada,CAD,125.15
Cayman Islands,USD,100
Chile,CLP,79878.26
Colombia,COP,389807.1
Costa Rica,CRC,64719.65
Croatia,HRK,662.22
Cyprus,EUR,87.9
Czechia,CZK,2225.77
Denmark,DKK,655.71
Ecuador,USD,100
Egypt,EGP,1582.14
El Salvador,USD,100
Estonia,EUR,87.9
Finland,EUR,87.9
France,EUR,87.9
Georgia,GEL,320.17
Germany,EUR,87.9
Ghana,GHS,621.71
Gibraltar,GBP,74.41
Greece,EUR,87.9
Hong Kong,HKD,778.94
Hungary,HUF,32294.09
India,INR,7466.01
Indonesia,IDR,1413936.9
Iraq,IQD,150424.4
Ireland,EUR,87.9
Israel,ILS,310.88
Italy,EUR,87.9
Japan,JPY,11439.63
Jordan,JOD,70.9
Kazakhstan,KZT,43412.54
Kenya,KES,11297.91
Kuwait,USD,100
Latvia,EUR,87.9
Liechtenstein,CHF,92.73
Lithuania,EUR,87.9
Luxembourg,EUR,87.9
Macao,MOP,802.31
Malaysia,MYR,416.77
Mexico,MXN,2069.1
Micronesia,USD,100
Monaco,EUR,87.9
Morocco,MAD,920.87
Myanmar (Burma),MMK,183069.8
Netherlands,EUR,87.9
New Zealand,NZD,142.64
Nigeria,NGN,42571.41
Norway,NOK,870.96
Oman,USD,100
Pakistan,PKR,17595.79
Panama,USD,100
Paraguay,PYG,687984.87
Peru,PEN,403.47
Philippines,PHP,5038.07
Poland,PLN,410.23
Portugal,EUR,87.9
Qatar,QAR,364
Romania,RON,435.32
Russia,RUB,7298.45
San Marino,EUR,87.9
Saudi Arabia,SAR,375
Serbia,RSD,10429.36
Singapore,SGD,135.44
Slovakia,EUR,87.9
Slovenia,EUR,87.9
South Africa,ZAR,1535.69
South Korea,KRW,118243.39
Spain,EUR,87.9
Sri Lanka,LKR,20325.51
Sweden,SEK,883.81
Switzerland,CHF,92.73
Taiwan,TWD,2794.23
Tanzania,TZS,233041.92
Thailand,THB,3274.52
Turkey,TRY,1021.38
Turks & Caicos Islands,USD,100
Ukraine,UAH,2637.15
United Arab Emirates,AED,367.25
United Kingdom,GBP,74.41
United States,USD,100
Vatican City,EUR,87.9
Vietnam,VND,2302322.98
